County,State,Education.Bachelor's Degree or Higher,Population.2020 Population
Brown County,IN,28.9,15475
Brown County,KS,21.2,9508
Brown County,MN,22.2,25912
Brown County,NE,20.7,2903
Brown County,OH,14.9,43676
Brown County,SD,29.4,38301
Brown County,TX,19.1,38095
Brown County,WI,30.3,268740
Brule County,SD,27.1,5247
Brunswick County,NC,29.9,136693
Brunswick County,VA,13.6,15849
Bryan County,GA,33.1,44738
Bryan County,OK,21.9,46067
Buchanan County,IA,21.5,20565
Buchanan County,MO,21.1,84793
Buchanan County,VA,11.8,20355
Buckingham County,VA,12.5,16824
Bucks County,PA,41.3,646538
Buena Vista County,IA,19.7,20823
Buena Vista city,VA,15.9,6641
Buffalo County,NE,34.6,50084
Buffalo County,SD,8.5,1948
Buffalo County,WI,19.3,13317
Bullitt County,KY,14.7,82217
Bulloch County,GA,27,81099
Bullock County,AL,12.1,10357
Buncombe County,NC,40.1,269452
Bureau County,IL,20.6,33244
Burke County,GA,13.2,24596
Burke County,NC,16.4,87570
Burke County,ND,22.8,2201
Burleigh County,ND,35.8,98458
Burleson County,TX,17.3,17642
Burlington County,NJ,38,461860
Burnet County,TX,25.4,49130
Burnett County,WI,20.8,16526
Burt County,NE,21.3,6722
Butler County,AL,16.1,19051
Butler County,IA,17.3,14334
Butler County,KS,29.8,67380
Butler County,KY,13.9,12371
Butler County,MO,13.3,42130
Butler County,NE,21.4,8369
Butler County,OH,30.2,390357
Butler County,PA,36,193763
Butte County,CA,27.2,211632
Butte County,ID,16.2,2574
Butte County,SD,19.2,10243
Butts County,GA,12.2,25434
Cabarrus County,NC,32.3,225804
Cabell County,WV,26,94350
Cache County,UT,38.3,133154
Caddo County,OK,15.4,26945
Caddo Parish,LA,23.5,237848
Calaveras County,CA,18.3,45292
Calcasieu Parish,LA,22.3,216785
Caldwell County,KY,15.3,12649
Caldwell County,MO,18.1,8815
Caldwell County,NC,15.7,80652
Caldwell County,TX,14.6,45883
Caldwell Parish,LA,13.8,9645
Caledonia County,VT,29,30233
Calhoun County,AL,18.5,116441
Calhoun County,AR,11.4,4739
Calhoun County,FL,9.5,13648
Calhoun County,GA,9.1,5573
Calhoun County,IA,18.7,9927
Calhoun County,IL,14.2,4437
Calhoun County,MI,21,134310
Calhoun County,MS,11.8,13266
Calhoun County,SC,19.9,14119
Calhoun County,TX,14.2,20106
Calhoun County,WV,12.2,6229
Callahan County,TX,21,13708
Callaway County,MO,23.1,44283
Calloway County,KY,28.5,37103
Calumet County,WI,29.4,52442
Calvert County,MD,32.4,92783
